1771372870484,1458.68
1771372871083,1458.68
1771380003069,1443.11
1771380003695,1443.11
1771387202746,1462.36
1771387203491,1462.36
1771394402588,1453.96
1771394403309,1453.96
1771401602799,1461.59
1771401603320,1461.59
1771408802888,1460.26
1771408803588,1460.26
1771416003130,1420
1771416003753,1420
1771423202356,1410.86
1771423202969,1410.86
1771430402676,1424.66
1771430403591,1424.66
1771437602052,1410.93
1771437602598,1410.93
1771444801958,1394.74
1771444802429,1394.74
1771452027961,1399.71
1771452028584,1399.71
